카테고리,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧1동,경기도 시흥시 배곧2동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년09월_계_총인구수,"511,900","44,928","36,182","9,955","56,323","12,132","42,194","21,874","16,110","20,392","22,361","32,159","23,088","21,073","35,562","35,412","1,943","23,821","32,265","24,126"
2021년09월_계_연령구간인구수,"511,900","44,928","36,182","9,955","56,323","12,132","42,194","21,874","16,110","20,392","22,361","32,159","23,088","21,073","35,562","35,412","1,943","23,821","32,265","24,126"
2021년09월_계_0~9세,"48,222","3,496","1,568",414,"7,252",648,"5,678","1,460","1,327","1,110","1,250","2,294","1,657","1,600","5,812","4,688",45,"1,698","3,745","2,480"
2021년09월_계_10~19세,"50,352","3,464","3,104",722,"5,780","1,146","3,436","2,191","1,485","1,119","1,891","3,496","2,098","2,595","4,348","3,907",48,"2,761","4,041","2,720"
2021년09월_계_20~29세,"69,629","6,655","5,814","1,383","6,621","1,667","4,110","2,808","1,910","3,222","3,703","5,123","3,043","3,500","3,412","5,527",158,"3,667","4,062","3,244"
2021년09월_계_30~39세,"78,202","6,996","3,958",981,"9,699","1,102","8,091","2,556","2,361","4,007","3,327","4,336","3,142","2,397","6,736","7,260",181,"2,613","4,821","3,638"
2021년09월_계_40~49세,"92,260","6,559","5,001","1,273","10,003","1,860","7,623","3,803","3,158","4,209","4,502","6,162","4,578","3,716","7,724","7,338",168,"4,026","6,339","4,218"
2021년09월_계_50~59세,"89,627","8,596","8,092","2,179","8,719","2,527","5,743","4,064","2,752","3,757","4,318","6,294","4,655","4,348","4,465","4,276",440,"4,961","5,327","4,114"
2021년09월_계_60~69세,"52,415","5,840","5,425","1,808","5,348","1,761","4,721","2,946","1,830","1,990","2,219","2,764","2,527","1,729","2,205","1,753",570,"2,342","2,450","2,187"
2021년09월_계_70~79세,"20,070","2,076","2,106",754,"1,897",888,"1,863","1,311",860,654,753,"1,045",883,713,603,454,224,"1,074",965,947
2021년09월_계_80~89세,"9,539","1,061",969,378,850,458,781,639,371,277,341,572,422,427,220,174,84,590,439,486
2021년09월_계_90~99세,"1,477",176,123,54,148,72,133,85,53,43,53,70,81,47,36,35,21,83,74,90
2021년09월_계_100세 이상,107,9,22,9,6,3,15,11,3,4,4,3,2,1,1,0,4,6,2,2
2021년09월_남_총인구수,"267,334","22,781","18,670","5,244","28,127","6,367","21,356","11,453","8,376","12,870","13,215","17,490","13,019","10,440","17,684","18,631","1,196","12,148","16,297","11,970"
2021년09월_남_연령구간인구수,"267,334","22,781","18,670","5,244","28,127","6,367","21,356","11,453","8,376","12,870","13,215","17,490","13,019","10,440","17,684","18,631","1,196","12,148","16,297","11,970"
2021년09월_남_0~9세,"24,473","1,793",816,212,"3,643",315,"2,858",763,655,557,621,"1,151",840,842,"2,914","2,404",23,879,"1,907","1,280"
2021년09월_남_10~19세,"25,828","1,775","1,631",377,"2,948",605,"1,755","1,131",766,575,964,"1,805","1,095","1,316","2,206","1,934",26,"1,435","2,113","1,371"
2021년09월_남_20~29세,"37,817","3,523","3,168",771,"3,400",965,"2,101","1,545","1,029","2,116","2,366","2,996","1,753","1,797","1,663","2,980",101,"1,940","2,034","1,569"
2021년09월_남_30~39세,"41,869","3,628","2,207",563,"4,753",597,"4,049","1,443","1,261","2,752","2,109","2,568","1,850","1,196","3,200","3,928",124,"1,372","2,390","1,879"
2021년09월_남_40~49세,"49,808","3,413","2,602",676,"5,183",991,"4,114","2,102","1,737","2,868","2,821","3,444","2,807","1,760","4,024","3,954",114,"1,977","3,176","2,045"
2021년09월_남_50~59세,"47,064","4,217","4,137","1,145","4,316","1,388","2,920","2,144","1,491","2,380","2,603","3,336","2,663","2,161","2,198","2,211",279,"2,592","2,780","2,103"
2021년09월_남_60~69세,"27,824","3,107","2,878",986,"2,707",937,"2,376","1,490",885,"1,182","1,272","1,532","1,445",932,"1,138",932,354,"1,248","1,303","1,120"
2021년09월_남_70~79세,"9,196",962,931,358,896,404,910,588,401,343,336,442,404,273,266,219,131,476,433,423
2021년09월_남_80~89세,"3,131",330,272,132,253,144,242,230,139,90,114,199,151,150,67,64,36,214,144,160
2021년09월_남_90~99세,296,32,26,19,27,20,27,14,11,6,7,17,10,13,8,5,6,13,16,19
2021년09월_남_100세 이상,28,1,2,5,1,1,4,3,1,1,2,0,1,0,0,0,2,2,1,1
2021년09월_여_총인구수,"244,566","22,147","17,512","4,711","28,196","5,765","20,838","10,421","7,734","7,522","9,146","14,669","10,069","10,633","17,878","16,781",747,"11,673","15,968","12,156"
2021년09월_여_연령구간인구수,"244,566","22,147","17,512","4,711","28,196","5,765","20,838","10,421","7,734","7,522","9,146","14,669","10,069","10,633","17,878","16,781",747,"11,673","15,968","12,156"
2021년09월_여_0~9세,"23,749","1,703",752,202,"3,609",333,"2,820",697,672,553,629,"1,143",817,758,"2,898","2,284",22,819,"1,838","1,200"
2021년09월_여_10~19세,"24,524","1,689","1,473",345,"2,832",541,"1,681","1,060",719,544,927,"1,691","1,003","1,279","2,142","1,973",22,"1,326","1,928","1,349"
2021년09월_여_20~29세,"31,812","3,132","2,646",612,"3,221",702,"2,009","1,263",881,"1,106","1,337","2,127","1,290","1,703","1,749","2,547",57,"1,727","2,028","1,675"
2021년09월_여_30~39세,"36,333","3,368","1,751",418,"4,946",505,"4,042","1,113","1,100","1,255","1,218","1,768","1,292","1,201","3,536","3,332",57,"1,241","2,431","1,759"
2021년09월_여_40~49세,"42,452","3,146","2,399",597,"4,820",869,"3,509","1,701","1,421","1,341","1,681","2,718","1,771","1,956","3,700","3,384",54,"2,049","3,163","2,173"
2021년09월_여_50~59세,"42,563","4,379","3,955","1,034","4,403","1,139","2,823","1,920","1,261","1,377","1,715","2,958","1,992","2,187","2,267","2,065",161,"2,369","2,547","2,011"
2021년09월_여_60~69세,"24,591","2,733","2,547",822,"2,641",824,"2,345","1,456",945,808,947,"1,232","1,082",797,"1,067",821,216,"1,094","1,147","1,067"
2021년09월_여_70~79세,"10,874","1,114","1,175",396,"1,001",484,953,723,459,311,417,603,479,440,337,235,93,598,532,524
2021년09월_여_80~89세,"6,408",731,697,246,597,314,539,409,232,187,227,373,271,277,153,110,48,376,295,326
2021년09월_여_90~99세,"1,181",144,97,35,121,52,106,71,42,37,46,53,71,34,28,30,15,70,58,71
2021년09월_여_100세 이상,79,8,20,4,5,2,11,8,2,3,2,3,1,1,1,0,2,4,1,1
