카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020년09월_계_총인구수,"107,689","4,597","7,724","7,829","12,154","8,817","7,969","7,968","7,164","4,715","10,126","5,146","9,724","13,756"
2020년09월_계_연령구간인구수,"107,689","4,597","7,724","7,829","12,154","8,817","7,969","7,968","7,164","4,715","10,126","5,146","9,724","13,756"
2020년09월_계_0~9세,"5,605",214,338,436,919,641,649,469,110,124,521,140,348,696
2020년09월_계_10~19세,"7,281",292,544,527,932,857,772,584,316,192,537,207,540,981
2020년09월_계_20~29세,"13,504",603,771,"1,201","1,561","1,063",962,"1,584",765,437,"1,380",463,919,"1,795"
2020년09월_계_30~39세,"11,269",501,681,892,"1,583",912,882,"1,007",558,381,"1,253",486,794,"1,339"
2020년09월_계_40~49세,"14,641",603,"1,032","1,076","1,819","1,372","1,266","1,076",856,618,"1,337",613,"1,239","1,734"
2020년09월_계_50~59세,"18,016",761,"1,335","1,169","1,882","1,471","1,290","1,128","1,263",820,"1,728",955,"1,718","2,496"
2020년09월_계_60~69세,"18,899",791,"1,443","1,283","1,697","1,302","1,136","1,141","1,549",998,"1,737","1,142","2,080","2,600"
2020년09월_계_70~79세,"12,309",523,"1,036",800,"1,161",772,642,618,"1,120",761,"1,131",787,"1,488","1,470"
2020년09월_계_80~89세,"5,303",273,485,375,512,368,319,301,525,330,432,303,519,561
2020년09월_계_90~99세,740,32,55,60,83,56,47,53,73,45,55,43,67,71
2020년09월_계_100세 이상,122,4,4,10,5,3,4,7,29,9,15,7,12,13
2020년09월_남_총인구수,"52,179","2,189","3,774","3,661","5,718","4,081","3,880","3,799","3,611","2,365","4,850","2,611","4,870","6,770"
2020년09월_남_연령구간인구수,"52,179","2,189","3,774","3,661","5,718","4,081","3,880","3,799","3,611","2,365","4,850","2,611","4,870","6,770"
2020년09월_남_0~9세,"2,919",108,182,226,475,326,354,243,54,62,270,71,186,362
2020년09월_남_10~19세,"3,672",140,260,255,460,398,406,294,168,97,282,103,292,517
2020년09월_남_20~29세,"6,673",302,414,545,748,523,501,706,396,239,626,252,495,926
2020년09월_남_30~39세,"5,828",266,374,448,762,438,420,500,315,213,646,287,444,715
2020년09월_남_40~49세,"7,574",316,532,538,899,641,599,553,494,363,691,361,674,913
2020년09월_남_50~59세,"9,190",382,657,579,920,676,639,571,706,457,878,523,943,"1,259"
2020년09월_남_60~69세,"8,825",347,685,573,759,600,549,535,774,486,801,535,998,"1,183"
2020년09월_남_70~79세,"5,362",226,462,348,494,342,279,267,487,334,470,348,646,659
2020년09월_남_80~89세,"1,927",92,196,129,179,122,124,118,191,99,165,119,178,215
2020년09월_남_90~99세,176,10,11,18,20,15,9,9,16,13,17,10,12,16
2020년09월_남_100세 이상,33,0,1,2,2,0,0,3,10,2,4,2,2,5
2020년09월_여_총인구수,"55,510","2,408","3,950","4,168","6,436","4,736","4,089","4,169","3,553","2,350","5,276","2,535","4,854","6,986"
2020년09월_여_연령구간인구수,"55,510","2,408","3,950","4,168","6,436","4,736","4,089","4,169","3,553","2,350","5,276","2,535","4,854","6,986"
2020년09월_여_0~9세,"2,686",106,156,210,444,315,295,226,56,62,251,69,162,334
2020년09월_여_10~19세,"3,609",152,284,272,472,459,366,290,148,95,255,104,248,464
2020년09월_여_20~29세,"6,831",301,357,656,813,540,461,878,369,198,754,211,424,869
2020년09월_여_30~39세,"5,441",235,307,444,821,474,462,507,243,168,607,199,350,624
2020년09월_여_40~49세,"7,067",287,500,538,920,731,667,523,362,255,646,252,565,821
2020년09월_여_50~59세,"8,826",379,678,590,962,795,651,557,557,363,850,432,775,"1,237"
2020년09월_여_60~69세,"10,074",444,758,710,938,702,587,606,775,512,936,607,"1,082","1,417"
2020년09월_여_70~79세,"6,947",297,574,452,667,430,363,351,633,427,661,439,842,811
2020년09월_여_80~89세,"3,376",181,289,246,333,246,195,183,334,231,267,184,341,346
2020년09월_여_90~99세,564,22,44,42,63,41,38,44,57,32,38,33,55,55
2020년09월_여_100세 이상,89,4,3,8,3,3,4,4,19,7,11,5,10,8
