카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020년06월_계_총인구수,"428,919","21,185","18,699","30,822","31,724","33,588","12,039","32,608","16,159","21,679","19,553","21,221","17,533","20,474","21,796","23,744","45,108","22,666","18,321"
2020년06월_계_연령구간인구수,"428,919","21,185","18,699","30,822","31,724","33,588","12,039","32,608","16,159","21,679","19,553","21,221","17,533","20,474","21,796","23,744","45,108","22,666","18,321"
2020년06월_계_0~9세,"34,987","1,574","1,504","1,705","3,117","2,552",621,"3,152","1,916","1,974","1,756","1,506","1,222","1,202","1,391","1,702","4,419","1,526","2,148"
2020년06월_계_10~19세,"45,385","1,957","1,664","2,703","4,213","3,880","1,926","3,536","2,745","2,882","2,169","2,818","1,369","1,665","2,051","2,615","4,272","1,660","1,260"
2020년06월_계_20~29세,"56,151","2,850","2,723","5,171","3,608","4,498","1,506","4,316","1,392","2,420","2,378","2,706","2,579","2,928","2,884","3,260","5,488","3,432","2,012"
2020년06월_계_30~39세,"65,310","3,729","3,853","5,056","3,931","4,960",922,"5,752","1,627","2,666","2,791","2,473","3,098","3,220","3,049","3,674","7,052","4,565","2,892"
2020년06월_계_40~49세,"78,145","3,823","3,315","4,899","6,456","6,415","2,339","6,660","3,747","4,503","3,605","4,006","2,884","3,110","3,336","4,324","7,848","3,873","3,002"
2020년06월_계_50~59세,"63,057","2,957","2,451","4,718","4,691","5,420","2,097","4,076","2,106","3,301","2,826","3,435","2,459","3,245","3,604","3,505","6,289","3,324","2,553"
2020년06월_계_60~69세,"47,187","2,399","1,781","3,546","3,050","3,349","1,244","2,951","1,297","2,117","2,280","2,229","2,082","2,830","3,150","2,347","5,568","2,554","2,413"
2020년06월_계_70~79세,"27,143","1,325","1,024","2,133","1,838","1,666","1,000","1,571",923,"1,233","1,227","1,330","1,304","1,647","1,635","1,616","2,943","1,276","1,452"
2020년06월_계_80~89세,"9,526",470,296,750,676,684,334,483,317,485,420,603,441,526,581,600,"1,004",365,491
2020년06월_계_90~99세,"1,809",98,71,124,128,143,38,92,63,85,96,109,82,89,111,89,220,84,87
2020년06월_계_100세 이상,219,3,17,17,16,21,12,19,26,13,5,6,13,12,4,12,5,7,11
2020년06월_남_총인구수,"205,037","10,212","8,869","14,973","15,430","15,956","5,714","15,736","7,717","10,244","9,243","9,825","8,215","9,611","10,509","10,862","21,600","11,402","8,919"
2020년06월_남_연령구간인구수,"205,037","10,212","8,869","14,973","15,430","15,956","5,714","15,736","7,717","10,244","9,243","9,825","8,215","9,611","10,509","10,862","21,600","11,402","8,919"
2020년06월_남_0~9세,"18,111",831,743,885,"1,632","1,340",326,"1,569","1,025","1,028",937,751,616,606,729,865,"2,307",846,"1,075"
2020년06월_남_10~19세,"23,115","1,004",877,"1,547","2,199","1,976",975,"1,798","1,352","1,452","1,120","1,315",740,866,"1,052","1,194","2,171",843,634
2020년06월_남_20~29세,"26,986","1,389","1,208","2,429","1,725","2,141",746,"1,972",684,"1,196","1,144","1,274","1,222","1,422","1,487","1,425","2,701","1,760","1,061"
2020년06월_남_30~39세,"30,014","1,692","1,779","2,417","1,703","2,273",411,"2,608",642,"1,151","1,225","1,087","1,392","1,500","1,457","1,623","3,347","2,362","1,345"
2020년06월_남_40~49세,"36,789","1,848","1,583","2,311","3,048","2,921",966,"3,359","1,712","2,033","1,625","1,756","1,340","1,456","1,532","1,939","3,831","1,991","1,538"
2020년06월_남_50~59세,"30,903","1,440","1,218","2,314","2,428","2,652","1,077","2,097","1,136","1,678","1,363","1,721","1,137","1,471","1,678","1,686","2,993","1,628","1,186"
2020년06월_남_60~69세,"21,731","1,141",815,"1,649","1,441","1,574",584,"1,390",591,944,"1,035","1,049",931,"1,253","1,474","1,089","2,452","1,190","1,129"
2020년06월_남_70~79세,"12,767",647,481,"1,030",886,755,454,722,409,538,582,588,614,778,821,738,"1,384",603,737
2020년06월_남_80~89세,"4,090",187,141,349,325,279,164,193,145,203,180,251,189,234,248,283,372,159,188
2020년06월_남_90~99세,475,32,23,37,37,36,9,24,13,20,30,33,28,24,31,18,41,16,23
2020년06월_남_100세 이상,56,1,1,5,6,9,2,4,8,1,2,0,6,1,0,2,1,4,3
2020년06월_여_총인구수,"223,882","10,973","9,830","15,849","16,294","17,632","6,325","16,872","8,442","11,435","10,310","11,396","9,318","10,863","11,287","12,882","23,508","11,264","9,402"
2020년06월_여_연령구간인구수,"223,882","10,973","9,830","15,849","16,294","17,632","6,325","16,872","8,442","11,435","10,310","11,396","9,318","10,863","11,287","12,882","23,508","11,264","9,402"
2020년06월_여_0~9세,"16,876",743,761,820,"1,485","1,212",295,"1,583",891,946,819,755,606,596,662,837,"2,112",680,"1,073"
2020년06월_여_10~19세,"22,270",953,787,"1,156","2,014","1,904",951,"1,738","1,393","1,430","1,049","1,503",629,799,999,"1,421","2,101",817,626
2020년06월_여_20~29세,"29,165","1,461","1,515","2,742","1,883","2,357",760,"2,344",708,"1,224","1,234","1,432","1,357","1,506","1,397","1,835","2,787","1,672",951
2020년06월_여_30~39세,"35,296","2,037","2,074","2,639","2,228","2,687",511,"3,144",985,"1,515","1,566","1,386","1,706","1,720","1,592","2,051","3,705","2,203","1,547"
2020년06월_여_40~49세,"41,356","1,975","1,732","2,588","3,408","3,494","1,373","3,301","2,035","2,470","1,980","2,250","1,544","1,654","1,804","2,385","4,017","1,882","1,464"
2020년06월_여_50~59세,"32,154","1,517","1,233","2,404","2,263","2,768","1,020","1,979",970,"1,623","1,463","1,714","1,322","1,774","1,926","1,819","3,296","1,696","1,367"
2020년06월_여_60~69세,"25,456","1,258",966,"1,897","1,609","1,775",660,"1,561",706,"1,173","1,245","1,180","1,151","1,577","1,676","1,258","3,116","1,364","1,284"
2020년06월_여_70~79세,"14,376",678,543,"1,103",952,911,546,849,514,695,645,742,690,869,814,878,"1,559",673,715
2020년06월_여_80~89세,"5,436",283,155,401,351,405,170,290,172,282,240,352,252,292,333,317,632,206,303
2020년06월_여_90~99세,"1,334",66,48,87,91,107,29,68,50,65,66,76,54,65,80,71,179,68,64
2020년06월_여_100세 이상,163,2,16,12,10,12,10,15,18,12,3,6,7,11,4,10,4,3,8
