카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년07월_계_총인구수,"281,366","2,736","4,685","18,471","31,717","12,151","2,980","1,827","3,234","1,529",913,"3,279","5,587","2,849","3,824","5,111","25,033","6,395","44,865","7,815","9,028","2,909","2,488","3,157","18,435","40,521","19,827"
2020년07월_계_연령구간인구수,"281,366","2,736","4,685","18,471","31,717","12,151","2,980","1,827","3,234","1,529",913,"3,279","5,587","2,849","3,824","5,111","25,033","6,395","44,865","7,815","9,028","2,909","2,488","3,157","18,435","40,521","19,827"
2020년07월_계_0~9세,"23,809",55,131,"1,590","5,822",846,58,36,67,17,27,76,144,60,154,201,"1,894",355,"3,547",403,382,115,64,107,"2,170","3,615","1,873"
2020년07월_계_10~19세,"30,728",132,231,"2,650","4,794","1,029",101,69,144,38,42,153,287,174,267,416,"2,750",579,"5,565",613,706,199,114,199,"1,718","5,015","2,743"
2020년07월_계_20~29세,"37,242",187,425,"3,174","3,072","1,319",167,128,198,83,58,243,429,264,377,875,"3,872",778,"6,719",929,"1,150",349,291,385,"2,170","6,318","3,282"
2020년07월_계_30~39세,"33,246",120,272,"2,227","6,592","1,162",136,100,158,67,36,151,279,155,329,486,"2,827",642,"5,128",785,786,259,212,281,"2,681","4,947","2,428"
2020년07월_계_40~49세,"43,778",240,496,"3,501","6,569","1,735",221,141,230,120,58,249,556,294,440,593,"3,705",916,"7,212",985,"1,126",321,295,436,"2,867","6,976","3,496"
2020년07월_계_50~59세,"49,147",566,934,"3,399","3,173","2,237",497,332,567,306,156,570,998,558,589,818,"4,507","1,169","8,679","1,352","1,764",485,494,554,"3,014","7,614","3,815"
2020년07월_계_60~69세,"33,008",524,890,"1,155","1,144","1,881",630,414,683,293,192,731,"1,096",571,794,772,"3,238","1,049","5,120","1,366","1,584",524,530,560,"2,035","3,736","1,496"
2020년07월_계_70~79세,"18,804",483,713,475,375,"1,186",635,330,653,329,177,640,945,449,561,625,"1,474",590,"1,971",950,"1,058",442,315,430,"1,101","1,445",452
2020년07월_계_80~89세,"9,994",372,522,270,145,655,464,234,471,232,135,409,743,267,267,290,659,267,795,369,413,178,142,175,575,737,208
2020년07월_계_90~99세,"1,545",57,70,27,31,100,70,42,62,37,31,54,106,53,42,34,100,46,121,62,59,37,29,25,100,116,34
2020년07월_계_100세 이상,65,0,1,3,0,1,1,1,1,7,1,3,4,4,4,1,7,4,8,1,0,0,2,5,4,2,0
2020년07월_남_총인구수,"140,466","1,350","2,423","9,185","16,100","6,092","1,493",870,"1,626",787,435,"1,597","2,813","1,454","1,877","2,556","12,317","3,235","22,350","3,915","4,569","1,414","1,288","1,623","9,281","20,024","9,792"
2020년07월_남_연령구간인구수,"140,466","1,350","2,423","9,185","16,100","6,092","1,493",870,"1,626",787,435,"1,597","2,813","1,454","1,877","2,556","12,317","3,235","22,350","3,915","4,569","1,414","1,288","1,623","9,281","20,024","9,792"
2020년07월_남_0~9세,"12,255",35,59,816,"2,995",441,30,18,35,12,17,40,75,35,79,104,980,190,"1,762",216,203,60,37,57,"1,147","1,862",950
2020년07월_남_10~19세,"16,067",66,125,"1,428","2,536",538,53,26,85,20,21,79,150,106,146,229,"1,383",296,"2,919",335,375,96,61,106,896,"2,593","1,399"
2020년07월_남_20~29세,"20,234",112,249,"1,709","1,590",706,98,60,113,49,34,134,260,159,211,481,"2,111",443,"3,699",519,648,193,151,232,"1,179","3,328","1,766"
2020년07월_남_30~39세,"16,975",62,181,"1,100","3,225",615,88,59,111,49,21,84,160,89,181,262,"1,444",352,"2,635",419,424,133,129,159,"1,363","2,457","1,173"
2020년07월_남_40~49세,"21,602",150,317,"1,541","3,263",917,150,92,165,84,33,158,352,163,237,316,"1,791",460,"3,375",547,629,169,183,233,"1,467","3,255","1,555"
2020년07월_남_50~59세,"24,855",330,547,"1,742","1,707","1,181",302,181,325,187,94,302,562,310,303,409,"2,094",605,"4,164",639,887,233,267,301,"1,516","3,764","1,903"
2020년07월_남_60~69세,"16,558",282,446,585,598,950,323,228,338,177,103,378,588,301,370,357,"1,581",494,"2,583",643,736,251,249,269,"1,016","1,918",794
2020년07월_남_70~79세,"8,371",189,319,185,150,536,285,132,292,132,79,282,415,192,261,284,698,282,921,423,495,185,142,191,501,615,185
2020년07월_남_80~89세,"3,231",109,171,75,35,186,144,65,151,67,29,130,227,90,78,108,216,103,262,162,166,85,62,63,180,206,61
2020년07월_남_90~99세,310,15,9,4,1,22,20,9,11,7,3,9,23,9,11,6,18,10,29,12,6,9,7,12,16,26,6
2020년07월_남_100세 이상,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020년07월_여_총인구수,"140,900","1,386","2,262","9,286","15,617","6,059","1,487",957,"1,608",742,478,"1,682","2,774","1,395","1,947","2,555","12,716","3,160","22,515","3,900","4,459","1,495","1,200","1,534","9,154","20,497","10,035"
2020년07월_여_연령구간인구수,"140,900","1,386","2,262","9,286","15,617","6,059","1,487",957,"1,608",742,478,"1,682","2,774","1,395","1,947","2,555","12,716","3,160","22,515","3,900","4,459","1,495","1,200","1,534","9,154","20,497","10,035"
2020년07월_여_0~9세,"11,554",20,72,774,"2,827",405,28,18,32,5,10,36,69,25,75,97,914,165,"1,785",187,179,55,27,50,"1,023","1,753",923
2020년07월_여_10~19세,"14,661",66,106,"1,222","2,258",491,48,43,59,18,21,74,137,68,121,187,"1,367",283,"2,646",278,331,103,53,93,822,"2,422","1,344"
2020년07월_여_20~29세,"17,008",75,176,"1,465","1,482",613,69,68,85,34,24,109,169,105,166,394,"1,761",335,"3,020",410,502,156,140,153,991,"2,990","1,516"
2020년07월_여_30~39세,"16,271",58,91,"1,127","3,367",547,48,41,47,18,15,67,119,66,148,224,"1,383",290,"2,493",366,362,126,83,122,"1,318","2,490","1,255"
2020년07월_여_40~49세,"22,176",90,179,"1,960","3,306",818,71,49,65,36,25,91,204,131,203,277,"1,914",456,"3,837",438,497,152,112,203,"1,400","3,721","1,941"
2020년07월_여_50~59세,"24,292",236,387,"1,657","1,466","1,056",195,151,242,119,62,268,436,248,286,409,"2,413",564,"4,515",713,877,252,227,253,"1,498","3,850","1,912"
2020년07월_여_60~69세,"16,450",242,444,570,546,931,307,186,345,116,89,353,508,270,424,415,"1,657",555,"2,537",723,848,273,281,291,"1,019","1,818",702
2020년07월_여_70~79세,"10,433",294,394,290,225,650,350,198,361,197,98,358,530,257,300,341,776,308,"1,050",527,563,257,173,239,600,830,267
2020년07월_여_80~89세,"6,763",263,351,195,110,469,320,169,320,165,106,279,516,177,189,182,443,164,533,207,247,93,80,112,395,531,147
2020년07월_여_90~99세,"1,235",42,61,23,30,78,50,33,51,30,28,45,83,44,31,28,82,36,92,50,53,28,22,13,84,90,28
2020년07월_여_100세 이상,57,0,1,3,0,1,1,1,1,4,0,2,3,4,4,1,6,4,7,1,0,0,2,5,4,2,0
