년도,월,나이,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020,1,총,"185,412","10,724","12,095","18,197","10,668","19,083","9,190","16,079","8,977","11,313","8,717","8,786","4,467","4,628","9,258","8,544","6,439","6,499","11,748"
2020,1,0,"12,464",792,649,"1,546",624,"1,332",516,"1,589",638,880,350,606,170,210,544,793,250,271,704
2020,1,10,"11,715",660,409,"1,461",534,"1,119",490,"1,436",518,807,460,594,287,330,516,707,348,323,716
2020,1,20,"29,824","1,321","3,235","2,134","1,931","4,238","1,372","1,842","1,486","1,977","1,688","1,138",609,588,"1,533","1,210","1,003",958,"1,561"
2020,1,30,"31,959","1,611","2,778","2,994","2,032","4,036","1,593","3,001","2,064","2,432","1,278","1,220",481,478,"1,450","1,421",675,815,"1,600"
2020,1,40,"27,030","1,579","1,388","2,902","1,453","2,518","1,340","2,813","1,348","1,717","1,175","1,294",609,676,"1,280","1,405",901,903,"1,729"
2020,1,50,"27,636","1,816","1,341","2,645","1,551","2,403","1,445","2,002","1,048","1,512","1,278","1,519",857,880,"1,478","1,313","1,174","1,159","2,215"
2020,1,60,"22,988","1,544","1,150","2,132","1,360","1,820","1,170","1,815",955,"1,045","1,168","1,277",705,787,"1,314",931,"1,051","1,008","1,756"
2020,1,70,"14,173",927,740,"1,471",770,"1,001",814,"1,034",589,603,865,753,498,439,743,486,707,752,981
2020,1,80,"6,350",393,323,763,345,506,389,457,268,291,375,326,204,196,329,233,271,261,420
2020,1,90,"1,069",69,62,129,56,89,51,75,55,45,62,55,38,33,62,35,46,45,62
2020,1,100,204,12,20,20,12,21,10,15,8,4,18,4,9,11,9,10,13,4,4
2020,2,총,"186,640","10,684","12,223","18,212","10,700","19,098","9,197","16,091","8,980","11,312","8,730","8,763","4,453","4,742","9,229","9,588","6,438","6,483","11,717"
2020,2,0,"12,546",782,628,"1,553",613,"1,316",508,"1,577",632,871,343,607,171,248,528,966,246,259,698
2020,2,10,"11,737",657,410,"1,454",532,"1,123",480,"1,422",518,796,457,581,282,336,506,800,348,323,712
2020,2,20,"30,081","1,308","3,339","2,099","1,962","4,245","1,371","1,846","1,498","1,996","1,713","1,133",598,583,"1,565","1,324",999,948,"1,554"
2020,2,30,"32,198","1,617","2,800","3,002","2,040","4,007","1,591","2,995","2,062","2,431","1,283","1,236",489,510,"1,437","1,645",661,814,"1,578"
2020,2,40,"27,242","1,569","1,393","2,917","1,454","2,550","1,351","2,824","1,345","1,717","1,166","1,270",595,696,"1,268","1,597",906,892,"1,732"
2020,2,50,"27,769","1,806","1,355","2,648","1,553","2,411","1,450","2,009","1,050","1,509","1,273","1,512",846,891,"1,462","1,449","1,182","1,161","2,202"
2020,2,60,"23,122","1,541","1,151","2,143","1,357","1,821","1,176","1,816",951,"1,046","1,168","1,282",719,794,"1,327","1,001","1,049","1,019","1,761"
2020,2,70,"14,236",932,743,"1,470",770,"1,003",818,"1,050",589,606,869,753,491,440,740,513,716,748,985
2020,2,80,"6,423",386,322,779,350,511,390,460,273,291,378,328,215,200,327,244,271,271,427
2020,2,90,"1,082",73,62,128,57,90,52,77,54,45,62,56,38,33,60,39,48,44,64
2020,2,100,204,13,20,19,12,21,10,15,8,4,18,5,9,11,9,10,12,4,4
2020,3,총,"187,587","10,658","12,321","18,216","10,690","19,114","9,191","16,094","8,965","11,281","8,700","8,697","4,423","5,352","9,216","10,140","6,417","6,435","11,677"
2020,3,0,"12,623",778,628,"1,542",612,"1,322",504,"1,574",624,869,339,590,167,380,529,998,242,251,674
2020,3,10,"11,762",649,414,"1,456",532,"1,120",475,"1,412",514,800,447,578,276,368,506,845,351,314,705
2020,3,20,"30,455","1,322","3,407","2,132","1,987","4,244","1,395","1,871","1,504","1,990","1,726","1,124",599,642,"1,581","1,405","1,001",959,"1,566"
2020,3,30,"32,367","1,602","2,822","2,969","2,031","4,034","1,592","2,974","2,059","2,420","1,277","1,221",484,680,"1,431","1,763",658,794,"1,556"
2020,3,40,"27,211","1,546","1,394","2,915","1,434","2,535","1,333","2,821","1,340","1,713","1,149","1,258",594,788,"1,258","1,672",890,870,"1,701"
2020,3,50,"27,796","1,808","1,357","2,638","1,548","2,408","1,447","2,009","1,036","1,491","1,256","1,497",830,944,"1,446","1,561","1,170","1,154","2,196"
2020,3,60,"23,297","1,535","1,146","2,166","1,352","1,835","1,170","1,822",958,"1,055","1,172","1,279",724,845,"1,326","1,058","1,046","1,024","1,784"
2020,3,70,"14,314",948,750,"1,465",774,993,822,"1,055",591,604,872,764,489,455,739,522,723,748,"1,000"
2020,3,80,"6,475",386,324,784,352,512,392,461,278,291,381,326,211,204,329,267,277,273,427
2020,3,90,"1,083",72,59,130,56,89,51,80,53,44,63,55,40,35,62,39,47,44,64
2020,3,100,204,12,20,19,12,22,10,15,8,4,18,5,9,11,9,10,12,4,4
2020,4,총,"187,779","10,624","12,400","18,209","10,635","19,085","9,144","16,266","8,941","11,272","8,660","8,676","4,418","5,649","9,147","10,216","6,399","6,406","11,632"
2020,4,0,"12,565",763,621,"1,533",602,"1,314",492,"1,589",614,868,331,584,168,409,524,996,238,250,669
2020,4,10,"11,723",643,410,"1,458",521,"1,113",470,"1,423",508,799,444,572,277,382,494,844,351,312,702
2020,4,20,"30,536","1,321","3,442","2,131","1,966","4,227","1,404","1,926","1,516","1,975","1,721","1,122",605,697,"1,566","1,411","1,001",945,"1,560"
2020,4,30,"32,473","1,600","2,848","2,963","2,013","4,040","1,577","3,040","2,049","2,425","1,268","1,222",487,739,"1,424","1,787",647,795,"1,549"
2020,4,40,"27,174","1,539","1,409","2,919","1,433","2,525","1,318","2,834","1,335","1,713","1,141","1,251",585,813,"1,243","1,674",886,863,"1,693"
2020,4,50,"27,777","1,801","1,355","2,640","1,552","2,419","1,434","2,007","1,032","1,488","1,247","1,490",830,990,"1,436","1,579","1,161","1,143","2,173"
2020,4,60,"23,362","1,537","1,157","2,157","1,354","1,829","1,169","1,830",953,"1,063","1,172","1,282",720,887,"1,325","1,076","1,052","1,018","1,781"
2020,4,70,"14,365",948,749,"1,462",770,997,833,"1,063",595,605,871,768,487,471,736,528,725,751,"1,006"
2020,4,80,"6,510",389,326,795,355,513,384,461,278,288,383,324,211,214,330,272,277,281,429
2020,4,90,"1,087",71,63,130,57,86,53,77,53,44,64,56,39,36,60,39,49,44,66
2020,4,100,207,12,20,21,12,22,10,16,8,4,18,5,9,11,9,10,12,4,4
2020,5,총,"188,033","10,601","12,430","18,184","10,607","19,146","9,149","16,430","8,927","11,264","8,657","8,677","4,419","5,716","9,191","10,232","6,408","6,396","11,599"
2020,5,0,"12,538",764,618,"1,524",598,"1,314",496,"1,613",605,860,330,580,166,412,522,999,235,246,656
2020,5,10,"11,705",638,411,"1,455",513,"1,117",470,"1,415",506,792,447,580,283,382,493,842,346,314,701
2020,5,20,"30,618","1,322","3,457","2,110","1,964","4,248","1,405","1,964","1,510","1,976","1,719","1,118",602,706,"1,586","1,413","1,014",947,"1,557"
2020,5,30,"32,575","1,595","2,860","2,956","2,015","4,051","1,582","3,115","2,056","2,439","1,263","1,216",488,757,"1,430","1,785",651,785,"1,531"
2020,5,40,"27,120","1,525","1,410","2,917","1,419","2,539","1,320","2,859","1,316","1,710","1,137","1,251",582,828,"1,243","1,651",872,861,"1,680"
2020,5,50,"27,785","1,799","1,349","2,650","1,539","2,416","1,429","2,017","1,031","1,478","1,245","1,501",820,993,"1,446","1,597","1,160","1,136","2,179"
2020,5,60,"23,411","1,533","1,168","2,154","1,358","1,842","1,169","1,833",962,"1,062","1,170","1,271",728,894,"1,324","1,087","1,051","1,019","1,786"
2020,5,70,"14,431",953,747,"1,464",777,997,829,"1,063",596,607,874,774,487,482,746,535,734,759,"1,007"
2020,5,80,"6,538",390,327,800,355,513,381,456,282,290,390,326,216,212,332,273,283,279,433
2020,5,90,"1,105",70,63,132,57,87,58,79,55,46,65,55,38,39,60,40,50,46,65
2020,5,100,207,12,20,22,12,22,10,16,8,4,17,5,9,11,9,10,12,4,4
2020,6,총,"188,444","10,565","12,409","18,175","10,578","19,563","9,164","16,511","8,959","11,264","8,649","8,660","4,419","5,766","9,196","10,227","6,392","6,361","11,586"
2020,6,0,"12,536",750,620,"1,523",594,"1,357",494,"1,617",602,858,321,576,166,418,522,998,233,244,643
2020,6,10,"11,722",633,389,"1,461",513,"1,147",476,"1,423",512,776,447,574,285,387,497,836,350,318,698
2020,6,20,"30,703","1,313","3,472","2,104","1,952","4,301","1,426","1,981","1,510","1,981","1,728","1,117",596,715,"1,593","1,407","1,008",939,"1,560"
2020,6,30,"32,713","1,589","2,879","2,936","2,010","4,141","1,576","3,146","2,065","2,449","1,272","1,216",493,771,"1,422","1,786",650,780,"1,532"
2020,6,40,"27,168","1,530","1,395","2,917","1,412","2,618","1,317","2,864","1,341","1,702","1,134","1,249",577,828,"1,243","1,653",864,853,"1,671"
2020,6,50,"27,708","1,783","1,340","2,648","1,537","2,458","1,426","2,010","1,028","1,477","1,225","1,487",820,992,"1,441","1,597","1,151","1,122","2,166"
2020,6,60,"23,541","1,533","1,160","2,153","1,364","1,887","1,168","1,857",957,"1,070","1,185","1,275",730,909,"1,326","1,090","1,054","1,024","1,799"
2020,6,70,"14,491",960,747,"1,479",771,"1,019",831,"1,059",597,614,869,778,489,483,748,541,737,757,"1,012"
2020,6,80,"6,562",393,328,802,356,519,381,461,283,289,388,329,218,212,335,269,284,276,439
2020,6,90,"1,095",69,59,130,57,94,59,77,56,44,63,54,36,40,61,40,49,45,62
2020,6,100,205,12,20,22,12,22,10,16,8,4,17,5,9,11,8,10,12,3,4
2020,7,총,"188,941","10,573","12,437","18,206","10,628","19,830","9,157","16,558","8,938","11,268","8,666","8,640","4,431","5,774","9,195","10,238","6,446","6,344","11,612"
2020,7,0,"12,536",747,615,"1,525",595,"1,399",487,"1,611",597,849,321,566,165,417,522,996,241,246,637
2020,7,10,"11,710",626,393,"1,457",511,"1,159",475,"1,424",514,767,449,576,283,388,486,839,350,314,699
2020,7,20,"30,798","1,313","3,499","2,103","1,968","4,326","1,426","1,996","1,487","1,984","1,736","1,116",594,713,"1,616","1,411","1,023",926,"1,561"
2020,7,30,"32,893","1,613","2,880","2,928","2,027","4,212","1,583","3,153","2,082","2,469","1,262","1,218",496,774,"1,418","1,778",668,782,"1,550"
2020,7,40,"27,237","1,525","1,399","2,927","1,431","2,664","1,319","2,882","1,336","1,696","1,133","1,248",581,820,"1,235","1,663",859,846,"1,673"
2020,7,50,"27,696","1,774","1,335","2,653","1,531","2,479","1,419","2,015","1,023","1,476","1,238","1,478",818,"1,001","1,434","1,590","1,155","1,116","2,161"
2020,7,60,"23,614","1,549","1,162","2,173","1,368","1,914","1,169","1,853",958,"1,072","1,176","1,269",736,913,"1,334","1,087","1,058","1,021","1,802"
2020,7,70,"14,580",954,742,"1,482",772,"1,038",828,"1,070",596,620,882,784,494,485,749,552,745,767,"1,020"
2020,7,80,"6,562",391,333,806,356,521,377,458,283,285,388,327,218,211,332,273,285,277,441
2020,7,90,"1,110",69,59,132,57,96,64,80,54,46,64,53,37,41,61,38,50,45,64
2020,7,100,205,12,20,20,12,22,10,16,8,4,17,5,9,11,8,11,12,4,4
2020,8,총,"189,530","10,572","12,544","18,221","10,640","19,919","9,165","16,556","8,889","11,275","8,654","8,608","4,419","5,770","9,150","10,202","7,080","6,319","11,547"
2020,8,0,"12,574",755,612,"1,505",596,"1,407",487,"1,592",592,842,308,560,166,416,509,997,358,242,630
2020,8,10,"11,656",617,387,"1,464",509,"1,153",471,"1,425",505,758,450,569,281,380,474,823,376,319,695
2020,8,20,"30,937","1,320","3,582","2,112","1,976","4,351","1,448","1,976","1,496","2,000","1,734","1,103",586,713,"1,614","1,412","1,068",908,"1,538"
2020,8,30,"33,118","1,607","2,925","2,929","2,034","4,220","1,573","3,163","2,068","2,469","1,255","1,228",492,775,"1,414","1,778",859,778,"1,551"
2020,8,40,"27,239","1,520","1,393","2,920","1,426","2,672","1,314","2,894","1,332","1,698","1,136","1,235",583,814,"1,214","1,650",949,840,"1,649"
2020,8,50,"27,772","1,769","1,336","2,666","1,533","2,501","1,422","2,014","1,021","1,464","1,233","1,481",813,"1,012","1,434","1,575","1,232","1,114","2,152"
2020,8,60,"23,701","1,550","1,160","2,184","1,363","1,926","1,174","1,860",938,"1,082","1,183","1,269",739,914,"1,341","1,092","1,112","1,016","1,798"
2020,8,70,"14,638",961,736,"1,483",776,"1,046",826,"1,075",595,620,885,781,496,483,751,554,765,775,"1,030"
2020,8,80,"6,577",388,332,808,359,524,375,460,282,291,388,326,217,210,331,273,298,278,437
2020,8,90,"1,112",73,61,130,56,97,65,81,52,47,65,51,37,41,60,37,51,45,63
2020,8,100,206,12,20,20,12,22,10,16,8,4,17,5,9,12,8,11,12,4,4
2020,9,총,"189,830","10,567","12,627","18,202","10,648","19,946","9,173","16,578","8,810","11,251","8,636","8,610","4,419","5,795","9,132","10,213","7,406","6,302","11,515"
2020,9,0,"12,546",748,613,"1,495",597,"1,402",489,"1,577",579,830,304,564,166,424,501,994,400,238,625
2020,9,10,"11,647",619,388,"1,478",503,"1,162",467,"1,424",504,754,438,565,271,387,464,827,395,312,689
2020,9,20,"31,014","1,321","3,645","2,088","1,977","4,355","1,456","1,975","1,492","2,005","1,726","1,119",585,708,"1,621","1,407","1,096",904,"1,534"
2020,9,30,"33,123","1,586","2,923","2,915","2,037","4,228","1,560","3,164","2,057","2,463","1,265","1,223",491,774,"1,410","1,777",933,776,"1,541"
2020,9,40,"27,261","1,517","1,397","2,917","1,415","2,663","1,318","2,893","1,328","1,705","1,123","1,235",578,822,"1,208","1,657","1,000",844,"1,641"
2020,9,50,"27,819","1,764","1,347","2,669","1,541","2,508","1,419","2,036","1,006","1,461","1,237","1,467",813,"1,008","1,436","1,575","1,277","1,121","2,134"
2020,9,60,"23,781","1,564","1,156","2,194","1,367","1,937","1,185","1,867",923,"1,075","1,192","1,271",747,917,"1,340","1,091","1,152","1,001","1,802"
2020,9,70,"14,658",966,740,"1,481",778,"1,046",823,"1,079",585,614,883,783,500,487,744,559,784,778,"1,028"
2020,9,80,"6,645",396,335,816,367,523,380,465,274,287,386,326,222,216,339,278,302,278,455
2020,9,90,"1,130",74,63,129,54,100,66,82,54,53,65,52,37,40,61,37,55,46,62
2020,9,100,206,12,20,20,12,22,10,16,8,4,17,5,9,12,8,11,12,4,4
2020,10,총,"190,507","10,506","12,704","18,164","10,615","19,954","9,159","16,779","8,752","11,273","8,591","8,575","5,082","5,795","9,092","10,214","7,475","6,301","11,476"
2020,10,0,"12,583",733,613,"1,486",589,"1,392",484,"1,618",562,825,305,565,251,417,499,993,408,229,614
2020,10,10,"11,650",607,396,"1,478",500,"1,157",458,"1,429",506,754,432,558,319,387,459,822,394,307,687
2020,10,20,"31,070","1,312","3,684","2,079","1,964","4,346","1,466","1,993","1,501","2,007","1,705","1,104",652,709,"1,619","1,400","1,101",898,"1,530"
2020,10,30,"33,317","1,584","2,948","2,892","2,023","4,254","1,552","3,221","2,033","2,490","1,270","1,222",636,774,"1,397","1,776",949,779,"1,517"
2020,10,40,"27,329","1,501","1,397","2,913","1,419","2,658","1,307","2,929","1,312","1,687","1,109","1,229",711,828,"1,196","1,660","1,007",833,"1,633"
2020,10,50,"27,866","1,750","1,349","2,674","1,525","2,506","1,419","2,059",987,"1,466","1,237","1,458",882,"1,002","1,431","1,573","1,284","1,126","2,138"
2020,10,60,"23,920","1,569","1,160","2,183","1,379","1,942","1,194","1,869",917,"1,087","1,184","1,278",813,919,"1,347","1,094","1,169","1,011","1,805"
2020,10,70,"14,706",971,740,"1,488",781,"1,051",821,"1,077",593,614,879,777,523,490,733,564,788,785,"1,031"
2020,10,80,"6,716",395,334,819,367,527,382,482,279,286,389,328,245,216,343,282,307,281,454
2020,10,90,"1,143",71,63,131,56,100,66,86,54,53,64,51,41,41,60,39,56,48,63
2020,10,100,207,13,20,21,12,21,10,16,8,4,17,5,9,12,8,11,12,4,4
2020,11,총,"191,215","10,474","12,838","18,147","10,620","19,932","9,095","16,885","8,763","11,257","8,586","8,591","5,766","5,772","9,065","10,207","7,467","6,315","11,435"
2020,11,0,"12,631",723,627,"1,482",577,"1,389",478,"1,635",550,814,299,566,361,417,485,991,404,229,604
2020,11,10,"11,610",601,401,"1,469",499,"1,157",448,"1,423",501,756,432,558,349,385,451,805,392,306,677
2020,11,20,"31,148","1,309","3,707","2,071","1,964","4,313","1,456","2,003","1,524","2,006","1,708","1,099",716,703,"1,622","1,393","1,102",915,"1,537"
2020,11,30,"33,528","1,580","3,005","2,879","2,029","4,248","1,529","3,242","2,058","2,502","1,276","1,230",785,764,"1,392","1,784",941,777,"1,507"
2020,11,40,"27,402","1,499","1,411","2,911","1,415","2,668","1,293","2,954","1,297","1,675","1,103","1,230",844,826,"1,195","1,658",998,824,"1,601"
2020,11,50,"27,971","1,745","1,349","2,674","1,532","2,504","1,420","2,069",992,"1,457","1,232","1,464",971,"1,004","1,433","1,572","1,289","1,128","2,136"
2020,11,60,"24,081","1,571","1,181","2,193","1,381","1,946","1,200","1,893",916,"1,089","1,189","1,274",889,914,"1,342","1,100","1,174","1,015","1,814"
2020,11,70,"14,749",966,736,"1,483",786,"1,059",816,"1,081",586,620,877,784,548,486,732,572,789,790,"1,038"
2020,11,80,"6,735",396,336,830,368,527,381,487,278,280,388,328,250,219,345,281,309,279,453
2020,11,90,"1,152",71,65,134,57,100,64,83,53,54,65,53,44,41,60,39,57,48,64
2020,11,100,208,13,20,21,12,21,10,15,8,4,17,5,9,13,8,12,12,4,4
2020,12,총,"191,833","10,460","13,012","18,103","10,559","19,930","9,082","16,924","8,825","11,263","8,592","8,576","6,103","5,766","9,252","10,165","7,486","6,311","11,424"
2020,12,0,"12,671",718,632,"1,471",574,"1,378",476,"1,638",550,818,300,569,411,418,507,996,404,220,591
2020,12,10,"11,620",591,397,"1,461",496,"1,163",445,"1,423",509,756,434,550,383,382,462,787,394,302,685
2020,12,20,"31,316","1,314","3,807","2,080","1,942","4,300","1,475","2,017","1,565","1,999","1,718","1,098",740,698,"1,636","1,389","1,098",924,"1,516"
2020,12,30,"33,672","1,575","3,035","2,866","2,012","4,250","1,524","3,223","2,068","2,506","1,277","1,237",872,770,"1,446","1,765",952,776,"1,518"
2020,12,40,"27,408","1,488","1,434","2,895","1,407","2,663","1,277","2,966","1,303","1,668","1,104","1,207",909,817,"1,220","1,650",992,812,"1,596"
2020,12,50,"28,017","1,746","1,361","2,663","1,523","2,510","1,425","2,082",997,"1,463","1,217","1,457","1,000","1,002","1,459","1,561","1,293","1,128","2,130"
2020,12,60,"24,196","1,578","1,194","2,195","1,382","1,946","1,195","1,900",901,"1,098","1,194","1,280",922,916,"1,373","1,104","1,177","1,022","1,819"
2020,12,70,"14,814",968,733,"1,493",783,"1,070",809,"1,089",592,616,878,791,561,486,736,579,791,791,"1,048"
